Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std
hexachlorobenzene,water,118-74-1,7732-18-5,3.17e-10,0.0,25.0,0.0
pentachlorobenzene,water,608-93-5,7732-18-5,3.95e-08,0.0,25.0,0.0
pentachlorophenol,water,87-86-5,7732-18-5,2.72e-06,1.9317246180550684e-06,42.2,25.895173295423223
"1,2,4,5-tetrabromobenzene",water,636-28-2,7732-18-5,1.99e-09,0.0,25.0,0.0
"1,2,3,4-tetrachlorobenzene",water,634-66-2,7732-18-5,3.61e-07,0.0,25.0,0.0
"1,2,3,5-tetrachlorobenzene",water,634-90-2,7732-18-5,2.89e-07,0.0,25.0,0.0
"1,2,4,5-tetrachlorobenzene",water,95-94-3,7732-18-5,5.06e-08,0.0,25.0,0.0
"2,3,4,6-tetrachlorophenol",water,58-90-2,7732-18-5,0.00014,0.0,25.0,0.0
"1,2,4-tribromobenzene",water,615-54-3,7732-18-5,5.78e-07,0.0,25.0,0.0
"1,3,5-tribromobenzene",water,626-39-1,7732-18-5,4.52e-08,0.0,25.0,0.0
"2,4,6-tribromophenol",water,118-79-6,7732-18-5,3.8e-06,0.0,25.0,0.0
"1,2,3-trichlorobenzene",water,87-61-6,7732-18-5,3.07e-06,0.0,25.0,0.0
water,"1,2,4-trichlorobenzene",7732-18-5,120-82-1,0.002034,0.0,25.0,0.0
"1,3,5-trichlorobenzene",water,108-70-3,7732-18-5,6.51e-07,0.0,25.0,0.0
"2,4,5-trichlorophenol",water,95-95-4,7732-18-5,9e-05,0.0,25.0,0.0
"2,4,6-trichlorophenol",water,88-06-2,7732-18-5,0.00011550333333333332,7.6202863609068e-05,44.199999999999996,37.08404868223893
propane,water,74-98-6,7732-18-5,0.00034860000000000007,0.00014179229527728227,20.0,11.180339887498949
butane,water,106-97-8,7732-18-5,0.00021433823529411767,0.00017298295863823918,40.0,24.49489742783178
2-methylpropane,water,75-28-5,7732-18-5,0.00019237777777777776,8.086924669939986e-05,25.0,12.909944487358056
propane,pentane,109-66-0,74-98-6,0.1008,0.0,25.0,0.0
propane,hexane,110-54-3,74-98-6,0.0962,0.018234801890889853,14.0,22.22611077089287
propane,"2,2-dimethylbutane",74-98-6,75-83-2,0.18372499999999997,0.10276904628826716,8.75,20.116846174288852
propane,"2,3-dimethylbutane",74-98-6,79-29-8,0.16831000000000002,0.11531152717746826,15.0,22.360679774997898
propane,heptane,74-98-6,142-82-5,0.09699999999999999,0.015315351775261322,35.0,8.16496580927726
propane,octane,111-65-9,111-65-9,0.1191,0.0,25.0,0.0
propane,nonane,74-98-6,111-84-2,0.1322,0.0,25.0,0.0
propane,decane,74-98-6,124-18-5,0.2295,0.01958528359083252,9.216666666666667,10.573814617041268
propane,dodecane,74-98-6,112-40-3,0.10236666666666666,0.016317747665927702,35.0,8.16496580927726
propane,tetradecane,74-98-6,629-59-4,0.0861,0.02363909191713309,50.0,16.32993161855452
propane,hexadecane,74-98-6,544-76-3,0.11053333333333333,0.017751118900571378,35.0,8.16496580927726
propane,heptadecane,74-98-6,629-78-7,0.08,0.0,50.0,0.0
propane,octadecane,74-98-6,593-45-3,0.0885,0.0,50.0,0.0
methyl trichloroacetate,water,598-99-2,7732-18-5,5.571428571428572e-05,2.381904571504724e-05,59.99999999999999,20.222123669740665
methyl dichloroacetate,water,116-54-1,7732-18-5,0.000629,0.0003169369022376536,44.92,28.83861300409574
methyl chloroacetate,water,96-34-4,7732-18-5,0.009992999999999998,0.0011196968339689099,44.95,28.83304527794454
methyl acetate,water,79-20-9,7732-18-5,0.08038461538461537,0.021612775643260567,36.15384615384615,28.56529942711868
ethyl formate,water,109-94-4,7732-18-5,0.022325,0.0021170439296339604,15.0,11.180339887498949
dimethyl carbonate,water,616-38-6,7732-18-5,0.02928333333333333,0.001659735588044742,35.083333333333336,17.173178376630098
vinyl acetate,water,108-05-4,7732-18-5,0.0034000000000000002,0.0009,43.0,23.0
methyl acrylate,water,96-33-3,7732-18-5,0.011233333333333333,9.428090415820577e-05,20.0,4.08248290463863
propylene carbonate,water,108-32-7,7732-18-5,0.058,0.034525353003264134,387.85714285714283,874.7320289374225
dimethyl oxalate,water,553-90-2,7732-18-5,0.03966666666666667,0.026322782696532845,38.5,24.904818810824544
ethyl chloroacetate,water,105-39-5,7732-18-5,0.0031869999999999997,0.0003445010885323876,45.04,28.93783682309374
methyl 2-chloropropionate,water,17639-93-9,7732-18-5,0.0029066666666666668,0.00041001354991159877,50.12222222222223,26.00110159109835
