Unnamed: 0,Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std,MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,RotatableBondCount,HeavyAtomCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,EffectiveRotorCount3D,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,SMR_VSA5,SlogP_VSA2,SlogP_VSA5,EState_VSA5,EState_VSA8,NumRotatableBonds,MolLogP,MolMR
0,hexachlorobenzene,water,118-74-1,7732-18-5,-21.872119342051267,-1.2708524381339554,25.0,0.0,266.785,6.2,265.799601317,263.802551317,-1.0,104.0,0.0,11.0,142.70000000000002,3.18,3.18,0.15,-1.0,0.0,5.668765432098764,5.668765432098764,0.1090123456790128,0.1090123456790128,0.1013951818121347,266.769,268.785,263.802551396,58.0,0.4924667125640755,0.3305523313107696,-0.3305523313107696,-0.3305523313107696,-0.6666666666666667,-0.5833333333333333,-0.5,-5.659733996133145,2.578725956633584,-1.644966541039855,2.7440797877313865,-1.5004044825087433,5.7626786137591255,0.8682971489670265,2.0815718239857546,3.603567451474548,226.30309024251744,9.464101615137752,4.767786838055362,9.30336051416609,5.464101615137754,2.633893419027681,4.901680257083045,1.883893419027681,4.151680257083046,1.1562324237995552,4.004411557112952,0.5781162118997776,2.002205778556476,1.0,10.077160493827162,31.036461393295266,92.4017692924689,-5.476191835881363,69.60563934139509,0.0,0.0,-5.476191835881363,0.0,0.0,0.0,0.0,6.431699999999999,52.88820000000001
1,pentachlorobenzene,water,608-93-5,7732-18-5,-17.046965165039335,-1.2708524381339554,25.0,0.0,232.28500000000005,5.7,231.838573317,229.841524317,-1.0,125.0,0.0,10.0,129.60000000000002,3.42,2.4800000000000004,0.14,-1.0,0.0,5.655432098765431,5.655432098765431,0.1859567901234573,0.1859567901234573,0.1232796026749279,232.324,233.332,229.841523748,52.0,0.4923546242141695,0.3289117245230304,-0.3289117245230304,-0.3306644196606756,-0.3636363636363636,0.0,0.3636363636363635,-5.653273210710525,2.515597266425075,-1.6068420108937198,2.6844702043152866,-1.4620113658080012,5.717954277140189,0.87236161055971,1.9718983443825908,3.455546483817783,267.2643837476986,8.593858127134677,4.467172634235761,8.246817364328034,5.036581260209188,2.522261451712694,4.41208381675883,1.7821595381466655,3.730453210655561,1.0582235224448686,3.204463155287838,0.544017576093546,1.6538552962920414,0.71,8.795689802913452,30.63042755216206,82.09850306558724,-5.476191835881363,58.00469945116258,6.06636706846161,0.0,-5.476191835881363,0.0,6.06636706846161,0.0,0.0,5.7783,47.878200000000014
3,"1,2,4,5-tetrabromobenzene",water,636-28-2,7732-18-5,-20.03513119821001,-1.2708524381339554,25.0,0.0,375.685,5.6,375.674335317,371.678435317,-1.0,90.0,0.0,9.0,136.4,4.34,2.09,0.18,3.0,0.0,3.382453703703704,3.382453703703704,1.044050925925926,1.044050925925926,0.2309759097948444,375.683,375.683,371.67843378,46.0,0.4444072290371773,0.3619457845725137,-0.3619457845725137,-0.3786118148376678,-0.4,-0.1999999999999999,0.0,-5.629580364894554,2.4133162038637748,-1.5708253908818763,2.609762514440052,-1.4282280118684172,8.311500759466082,0.6831325592531435,1.841127075121712,3.2824629074535223,205.9198833722299,7.723614639131598,4.16655843041616,10.510544586874977,4.6090609052806215,2.410629484397706,5.582622562627114,1.6804256572656509,5.097773253963734,0.963206153162036,4.651700067888272,0.4982926454934786,2.486190102780187,1.18,8.269766606822262,30.735545860825194,86.0523623537443,-5.476191835881363,0.0,75.85250972872062,0.0,-5.476191835881363,0.0,0.0,63.719775591797394,0.0,5.561300000000001,53.62820000000001
5,"1,2,3,5-tetrachlorobenzene",water,634-90-2,7732-18-5,-15.056839148833978,-1.2708524381339554,25.0,0.0,197.885,5.2,197.877546317,195.880496317,-1.0,104.0,0.0,9.0,113.9,3.13,2.29,0.14,-1.0,0.0,5.627098765432098,5.627098765432098,0.3404938271604942,0.3404938271604942,0.1196674403735954,197.879,197.879,195.8804961,46.0,0.4894125879747901,0.3272780490525832,-0.3272780490525832,-0.333606455900055,-0.1999999999999999,0.1999999999999999,0.6000000000000001,-5.646696960909837,2.438719897899872,-1.560957365299401,2.610115810348858,-1.4174120443784095,5.662146513683672,0.8765643364933423,1.823590004048066,3.3105328747224085,232.91988337222992,7.723614639131598,4.16655843041616,7.190274214489977,4.6090609052806215,2.4106294843977065,3.922487376434615,1.6834171893375045,3.3122176962999297,0.9485883262963464,2.363652804937509,0.5245893946264945,1.4506759700442975,0.4199999999999999,7.516339113680151,30.22546695011812,71.79523683870556,-5.476191835881363,46.40375956093006,12.13273413692322,0.0,-5.476191835881363,0.0,12.13273413692322,0.0,0.0,5.1249,42.86820000000001
6,"1,2,4,5-tetrachlorobenzene",water,95-94-3,7732-18-5,-16.79931426065299,-1.2708524381339554,25.0,0.0,197.885,5.1,197.877546317,195.880496317,-1.0,90.0,0.0,9.0,116.7,3.71,1.81,0.14,-1.0,0.0,5.610895061728394,5.610895061728394,0.4130246913580251,0.4130246913580251,0.2388678778579419,197.879,197.879,195.8804961,46.0,0.4722789758223855,0.3288540423405531,-0.3288540423405531,-0.3507400680524596,-0.4,-0.1999999999999999,0.0,-5.646643692192111,2.428211561895065,-1.5571702626179438,2.59855573711337,-1.4142523064582506,5.6417423789049765,0.8765526580423123,1.841127075121712,3.2824629074535223,205.9198833722299,7.723614639131598,4.16655843041616,7.190274214489977,4.6090609052806215,2.410629484397706,3.922487376434615,1.6804256572656509,3.309226164228076,0.963206153162036,2.407506285534577,0.4982926454934786,1.264642865502392,0.4199999999999999,7.516339113680151,30.22546695011812,71.79523683870556,-5.476191835881363,46.40375956093006,12.13273413692322,0.0,-5.476191835881363,0.0,12.13273413692322,0.0,0.0,5.1249,42.86820000000001
7,"2,3,4,6-tetrachlorophenol",water,58-90-2,7732-18-5,-8.87386813535497,-1.2708524381339554,25.0,0.0,213.885,5.0,213.872460317,211.875410317,19.2,143.0,0.0,10.0,127.0,3.1900000000000004,2.41,0.13,0.0,0.0,9.104598765432096,9.104598765432096,0.0239197530864192,-0.2474691358024687,0.2009716874714263,213.878,213.878,211.87541072,52.0,0.5654155935156118,-0.093272033444861,0.093272033444861,-0.2576034503592334,-0.0909090909090909,0.4545454545454546,1.0,-5.678288279910824,2.5234327080240075,-1.6104825576381316,2.698132919592167,-1.4582488214806255,5.672877823443307,-0.3481092739263555,1.9718983443825908,3.455546483817783,270.8740242221354,8.593858127134677,4.536421756726493,7.56013754080031,5.036581260209188,2.5568860129580595,4.068743904994968,1.8167840993920312,3.387113298891699,1.0899617666782824,2.63020361566808,0.5566149846991828,1.4640532430918098,0.2199999999999999,8.309445438282648,30.31699746822294,76.5894705909016,-0.3696644410406575,46.40375956093006,6.06636706846161,0.0,-0.3696644410406575,0.0,6.06636706846161,0.0,0.0,4.8305,44.53300000000001
8,"1,2,4-tribromobenzene",water,615-54-3,7732-18-5,-14.363691968274034,-1.2708524381339554,25.0,0.0,296.785,4.8,295.765875317,293.767925317,-1.0,94.0,0.0,8.0,116.3,3.97,1.63,0.17,2.0,0.0,3.3691203703703705,3.3691203703703705,1.066550925925926,1.066550925925926,0.307833416279449,296.787,295.77899999999994,293.76792171200003,40.0,0.4443262186117402,0.3607129645117316,-0.3607129645117316,-0.3786928252631049,-0.1111111111111111,0.5555555555555556,1.0,-5.6271996104577,2.343565505229028,-1.521819321394993,2.541559868981557,-1.3812973371428687,8.305256171358762,0.7281287744696138,1.7965675742516067,3.171678030440916,219.5429995478469,6.85337115112852,3.865944226596559,8.623933843940671,4.198377302757662,2.304980581226426,4.683975389898482,1.558430718868818,4.182780046009549,0.8816474954669951,3.2545599658683475,0.4704998499972052,1.7641952094808722,0.7,6.803519668737059,30.210355911941708,72.18481474810297,-5.476191835881363,15.929943897949348,50.05898900128353,0.0,-5.476191835881363,0.0,0.0,47.78983169384804,0.0,4.798800000000001,45.92820000000001
10,"2,4,6-tribromophenol",water,118-79-6,7732-18-5,-12.480509491231935,-1.2708524381339554,25.0,0.0,312.785,4.9,311.760785317,309.762835317,19.2,108.0,0.0,9.0,127.1,3.14,2.72,0.16,3.0,0.0,9.216157407407406,9.216157407407406,0.2251851851851853,0.2251851851851853,0.4413578648489509,312.786,311.7779999999999,309.76283633200006,46.0,0.5550117395663413,-0.0940706540299355,0.0940706540299355,-0.2680073043085038,0.0,0.3999999999999999,0.8,-5.659754401801832,2.4354153276663717,-1.577377431493589,2.6322373107101966,-1.425122955676307,8.289797485661675,-0.3556918148356393,1.823590004048066,3.3105328747224085,236.16499587006643,7.723614639131598,4.23580755290689,8.993797170251003,4.6090609052806215,2.445254045643072,4.824248854315128,1.71804175058287,4.3423910777236,0.9816656800962112,2.6484799510205645,0.5345846445042867,2.7932628081999824,0.4999999999999999,7.595602294455065,30.27813742876331,76.97904850029896,-0.3696644410406575,15.929943897949348,43.99262193282192,0.0,-0.3696644410406575,0.0,0.0,47.78983169384804,0.0,4.5044,47.593
11,"1,2,3-trichlorobenzene",water,87-61-6,7732-18-5,-12.693832996365169,-1.2708524381339554,25.0,0.0,163.385,4.6,161.919468317,161.919468317,-1.0,84.0,0.0,8.0,100.1,2.54,1.93,0.14,-1.0,0.0,5.613765432098765,5.613765432098765,0.4174382716049387,0.4174382716049387,0.2083544783497772,163.43399999999997,162.426,161.919468452,40.0,0.4893045629605168,0.3288539540163913,-0.3288539540163913,-0.3337144809143283,-0.1111111111111111,0.3333333333333332,0.6666666666666667,-5.640323092690682,2.393794016783975,-1.5269575873518182,2.5699573451898754,-1.3830829156712865,5.650347843777267,0.8807030686844014,1.8289585849367,3.2478347337367026,199.2929995478469,6.85337115112852,3.865944226596559,6.133731064651922,4.21521405516327,2.310963645370133,3.444857064397815,1.5356409209032411,2.7280056473936805,0.9044711161625654,2.135076129671228,0.4774825582937496,1.0009153974292928,0.1299999999999999,6.240011001100108,29.82220028173045,61.4919706118239,-5.476191835881363,40.86918673915916,12.13273413692322,0.0,-5.476191835881363,0.0,0.0,0.0,0.0,4.471500000000001,37.85820000000001
13,"1,3,5-trichlorobenzene",water,108-70-3,7732-18-5,-14.244756194737842,-1.2708524381339554,25.0,0.0,163.385,4.7,161.919468317,161.919468317,-1.0,63.0,0.0,8.0,102.6,2.4800000000000004,2.4800000000000004,0.14,-1.0,0.0,5.581358024691357,5.581358024691357,0.5625000000000004,0.5625000000000004,0.2453414436914773,163.43400000000003,162.426,161.919468452,40.0,0.4550209323322816,0.3272762008931403,-0.3272762008931403,-0.3679981115425635,-0.3333333333333333,-0.1111111111111111,0.1111111111111111,-5.639999270882784,2.3334621075802264,-1.5012455514709016,2.501139171201939,-1.362952580852637,5.55344840780513,0.8809144122215832,1.5880914479405832,3.165670309917317,169.06517765499825,6.85337115112852,3.865944226596559,6.133731064651922,4.181540550352056,2.2989975170827184,3.4328909361104,1.587666372600197,2.896973714016151,0.8273268353539889,1.4819805060619655,0.5201787612151944,1.3930148935298152,0.1299999999999999,6.240011001100108,29.82220028173045,61.49197061182389,-5.476191835881363,34.802819670697545,18.19910120538483,0.0,-5.476191835881363,0.0,0.0,0.0,0.0,4.471500000000001,37.85820000000001
