Unnamed: 0,Compound1,Compound2,CAS1,CAS2,MF_mean,MF_std,Temp_mean,Temp_std,MolecularWeight,XLogP,ExactMass,MonoisotopicMass,TPSA,Complexity,RotatableBondCount,HeavyAtomCount,Volume3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCount3D,EffectiveRotorCount3D,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,SMR_VSA5,SMR_VSA8,SlogP_VSA2,SlogP_VSA5,SlogP_VSA9,TPSA.1,EState_VSA11,EState_VSA5,EState_VSA8,HeavyAtomCount.1,NOCount,NumHAcceptors,NumHeteroatoms,NumRotatableBonds,MolLogP,MolMR,fr_HOCCN,fr_Imine,fr_N_O,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_amidine,fr_azide,fr_azo,fr_barbitur,fr_benzodiazepine,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_guanido,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_morpholine,fr_nitroso,fr_oxazole,fr_oxime,fr_phos_acid,fr_phos_ester,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_quatN,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_urea
0,hexachlorobenzene,water,118-74-1,7732-18-5,3.17e-10,0.0,-0.42017314106591486,-5.199337582605575,2.2110330606730524,2.0346261352462096,2.205170040979499,2.1898934250972286,-0.3442024366213351,0.2063949631958246,0.12454380770571265,1.0680391305435244,1.4738025311532998,0.27330940721756297,3.11826991099466,0.3486780640884209,-1.021375944780884,0.003213631524532558,0.6970914873129884,0.6970914873129884,0.015988723636635987,-0.0003513924990689703,0.25621034876944254,2.210792270802215,2.3661178569327173,2.1898934305652245,1.2047698600176384,0.0,0.9558952935766656,1.7791221230934704,-1.7797405362159215,-1.3919497699310737,-1.143452347935162,-0.9399722839524206,-0.97487261718717,2.0980872811861677,-1.219913525927806,1.3427006095760332,-1.268070392895465,1.5024254043486853,-1.0334475902112965,1.3311465388195909,0.5466555687662384,1.2771271670669888,1.5995870966696062,0.01374987442034703,1.3460268633675296,0.6568283010010858,1.7142284091834972,1.0125601446070063,0.5134846310568741,1.362068987392752,0.4439695450642265,1.4155385662923818,0.2537893914985661,2.0349619706530424,-0.034798996614753115,1.1315773388640302,2.4231961950085457,1.6088159776777589,1.2686357596453226,1.775620161058277,-5.476191835881363,2.1180224847323963,-0.6198248864361774,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,-0.3406948270877956,-0.7922667957966167,1.4085294292596142,-0.9940092547012612,-0.17441610093770257,2.018014573253741,-0.08687706410411518,5.19933758270342,1.7389060944790122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,pentachlorobenzene,water,608-93-5,7732-18-5,3.95e-08,0.0,-0.42017314106591486,-5.199337582605575,1.8572133987494646,1.8444877942134017,1.8562272556032384,1.8400964521896643,-0.3442024366213351,0.41057677558147715,0.12454380770571265,0.9053576735733186,1.2900346522274229,0.38186149474390996,2.301536122176464,0.31205890667274205,-1.021375944780884,0.003213631524532558,0.6948482372308418,0.6948482372308418,0.134225952451645,0.09033846470465251,0.4173712658008435,1.8575478012343873,1.9817262753600304,1.8400964501423829,1.0219030062649612,0.0,0.9555948978935852,1.7703237859797463,-1.7707699826879293,-1.39251602895207,-0.6080751568114151,-0.17104432803824107,0.07884861231640142,1.9939836058885427,-1.2180512587441032,1.3000273884945819,-1.2301233807345915,1.4608096055184152,-0.9985187426687933,1.317730185195793,0.5541339465304833,1.1746136804675735,1.521876527944775,0.1846840380249706,1.1634342569617642,0.580757356435424,1.4632573647968727,0.8763937460863275,0.469547413992375,1.177982409265768,0.39088187181813067,1.2307523295082459,0.18283384017384086,1.5100033794718641,-0.06812030868650382,0.8282308325396878,1.9939836058885427,1.359941032658875,1.247942850654188,1.5078142818421376,-5.476191835881363,1.7242431545837609,-0.2468367085866499,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,0.02892666750670241,-0.7922667957966167,1.2742802803901028,-0.9940092547012612,-0.17441610093770257,1.8514658442965457,-0.08687706410411518,2.7988682859846175,1.4260768722728474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,pentachlorophenol,water,87-86-5,7732-18-5,2.72e-06,1.93e-06,0.5170400446713928,1.134916617993491,2.021303676743013,1.8064601260068398,2.020571815254275,2.0048433103785177,0.47208980602898565,0.653650361754873,0.12454380770571265,1.0680391305435244,1.4709969146811488,0.3068279154983383,2.709903016585561,0.31205890667274205,-0.5246620213862002,0.003213631524532558,1.2913658215749995,1.2913658215749995,-0.13762956121367223,-0.556931743568839,1.03311169060907,2.021622652986911,2.155192016301034,2.0048433151132565,1.2047698600176384,0.0,1.1555562608296155,-0.49358021178282263,0.5374470964788011,-1.01558010080511,-0.7017661652580707,-0.3907380297280066,-0.16147377335985152,2.043270774366185,-1.2269916537868863,1.34793447533084,-1.26985786978093,1.5113706571409806,-1.0290379352116388,1.3208287261624023,-0.3612016377113192,1.2771271670669888,1.5995870966696062,0.030025391543065792,1.3460268633675296,0.6743519113005325,1.5511146239146314,1.0125601446070063,0.5271125093411302,1.232974361114065,0.46203763976154005,1.26492029339009,0.2757974676046636,1.666823598861632,-0.019945923625188947,0.887323948629439,1.8004166622305187,1.514241717783232,1.2527995697112677,1.632427579887832,-0.3696644410406575,1.7242431545837609,-0.6198248864361774,0.2747281415363567,0.0,-0.5881818234737899,0.12890111114904187,0.0,-0.6624352675665187,0.0,-0.3406948270877956,-0.7922667957966167,1.4085294292596142,-0.22893520236229836,0.622925723210088,2.018014573253741,-0.08687706410411518,2.316833185980426,1.4815444904261041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"1,2,4,5-tetrabromobenzene",water,636-28-2,7732-18-5,1.99e-09,0.0,-0.42017314106591486,-5.199337582605575,3.3278725152666393,1.8064601260068398,3.334111006030255,3.3010099314657655,-0.3442024366213351,0.07027375493872291,0.12454380770571265,0.742676216603113,1.3854256122805497,0.8694237732888861,1.846498725549183,0.4585355363354576,0.9654797487978503,0.003213631524532558,0.3124338143728619,0.3124338143728619,1.4528224204909874,1.1017231748699803,1.2104667616862146,3.327740105277766,3.525136594048252,3.3010099229601484,0.8390361525122839,0.0,0.8270963470790247,1.9474806761757677,-1.951394496822211,-1.6347414259269881,-0.6723204197462648,-0.4346767700659596,-0.3648234843166812,5.19933758270342,-1.2112219947513485,1.2308882636258733,-1.1942744637159637,1.408653223696054,-0.9677837120009822,2.095739192754944,0.3680707064802167,1.0523797656919098,1.4310081640290382,-0.07131058436403942,0.9808416505559978,0.504686411869762,2.000982667673636,0.7402273475656483,0.42561019692787566,1.6181009529162294,0.3377941985720353,1.830575933964127,0.1140440697580946,2.4597389486795103,-0.11280287870608043,1.553034926390958,2.56706257303048,1.2578012744580656,1.2533000484394696,1.6105842908514334,-5.476191835881363,-0.24465349615941595,4.043936648225414,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,-0.3406948270877956,1.8004166622305187,1.0309503519239438,-0.9940092547012612,-0.17441610093770257,1.608652682551486,-0.08687706410411518,2.423196195008551,1.8004166622305187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"1,2,3,4-tetrachlorobenzene",water,634-66-2,7732-18-5,3.61e-07,0.0,-0.42017314106591486,-5.199337582605575,1.5044193010633353,1.6163217849740321,1.5072844805017782,1.4902994689821474,-0.3442024366213351,0.18694907630195293,0.12454380770571265,0.742676216603113,1.0838218415243395,0.3372911428589526,1.6831519677855438,0.31205890667274205,-1.021375944780884,0.003213631524532558,0.6913431589774875,0.6913431589774875,0.31207978640923956,0.22675521741783145,0.3907706354895007,1.50430333166656,1.5973346937873434,1.4902994697195413,0.8390361525122839,0.0,0.9515077915509031,1.7700239326791842,-1.7704642601350797,-1.4002204034376902,-0.4956459466754284,-0.17104432803824107,0.0012059954056120982,1.9491119969398876,-1.2162013457494425,1.2625112251051382,-1.1937191194160377,1.424650007208839,-0.9651469187124921,1.3086401261356526,0.5691847492443551,1.1374698009653872,1.4623457095454724,0.02571319012454677,0.9808416505559978,0.504686411869762,1.212286320410248,0.7455898991060049,0.42796507066445644,0.9961454426845708,0.3256603266754187,1.0101149964581853,0.1320373501241659,1.1745976088331327,-0.10884981634798695,0.47100199391783504,1.7104673437394167,1.11147781403014,1.2273046376921775,1.240008402625998,-5.476191835881363,1.3304638244351257,0.12615146926287757,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,-0.3406948270877956,-0.7922667957966167,1.0309503519239438,-0.9940092547012612,-0.17441610093770257,1.608652682551486,-0.08687706410411518,2.1280452341849863,1.2251656323323592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"1,2,3,5-tetrachlorobenzene",water,634-90-2,7732-18-5,2.89e-07,0.0,-0.42017314106591486,-5.199337582605575,1.5044193010633353,1.6543494531805938,1.5072844805017782,1.4902994689821474,-0.3442024366213351,0.2063949631958246,0.12454380770571265,0.742676216603113,1.0697937591635853,0.22029549861944692,2.079851236640096,0.31205890667274205,-1.021375944780884,0.003213631524532558,0.6900813308062803,0.6900813308062803,0.3716963915518252,0.27248211292728897,0.3907706354895007,1.50430333166656,1.5973346937873434,1.4902994697195413,0.8390361525122839,0.0,0.9477102695043129,1.761562620518994,-1.7618373284013957,-1.4073788988403642,-0.3189714736045919,0.09258811398947751,0.36723547512790555,1.8696066471189026,-1.2161557099223181,1.2480604471181551,-1.1844523862937202,1.4088998734900278,-0.9579436856642861,1.3009890382925915,0.5843656098764104,1.0359875958892721,1.4457448135394688,0.041362186009803,0.9808416505559978,0.504686411869762,1.212286320410248,0.7402273475656483,0.42561019692787583,0.9938958311387841,0.33935526628871393,1.0472784347459847,0.103461194630551,0.9582295201036706,-0.08710559892887525,0.6513005800711399,1.7104673437394167,1.11147781403014,1.2273046376921775,1.240008402625998,-5.476191835881363,1.3304638244351257,0.12615146926287757,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,0.4842546896133438,-0.7922667957966167,1.0309503519239438,-0.9940092547012612,-0.17441610093770257,1.608652682551486,-0.08687706410411518,2.1280452341849863,1.2251656323323592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,"1,2,4,5-tetrachlorobenzene",water,95-94-3,7732-18-5,5.06e-08,0.0,-0.42017314106591486,-5.199337582605575,1.5044193010633353,1.6163217849740321,1.5072844805017782,1.4902994689821474,-0.3442024366213351,0.07027375493872291,0.12454380770571265,0.742676216603113,1.1090723897736963,0.5024022233733555,1.5198052100219048,0.31205890667274205,-1.021375944780884,0.003213631524532558,0.6873551588314493,0.6873551588314493,0.4831514608319179,0.35796994462754783,1.268584672057501,1.50430333166656,1.5973346937873434,1.4902994697195413,0.8390361525122839,0.0,0.9017923562646963,1.7700144447709427,-1.7704545865129342,-1.4939361766634978,-0.6723204197462648,-0.4346767700659596,-0.3648234843166812,1.8339146358159146,-1.2161403556614272,1.2409571071937848,-1.1806829173728735,1.4008293308916488,-0.9550690556896542,1.2948682300643772,0.5767585645077979,1.0523797656919098,1.4310081640290382,-0.07131058436403942,0.9808416505559978,0.504686411869762,1.212286320410248,0.7402273475656483,0.42561019692787566,0.9938958311387841,0.3377941985720353,1.0459660927241101,0.1140440697580946,0.9870079529877216,-0.11280287870608043,0.48930140051892107,1.7104673437394167,1.11147781403014,1.2273046376921775,1.240008402625998,-5.476191835881363,1.3304638244351257,0.12615146926287757,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,0.4842546896133438,-0.7922667957966167,1.0309503519239438,-0.9940092547012612,-0.17441610093770257,1.608652682551486,-0.08687706410411518,2.1280452341849863,1.2251656323323592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,"2,3,4,6-tetrachlorophenol",water,58-90-2,7732-18-5,0.00014,0.0,-0.42017314106591486,-5.199337582605575,1.6685095790568836,1.5782941167674707,1.6716290298780145,1.6550463271710008,0.47208980602898565,0.5855897576263221,0.12454380770571265,0.9053576735733186,1.2535616380894623,0.27998738995958544,2.219862743294644,0.27543974925706316,-0.5246620213862002,0.003213631524532558,1.2751489928561475,1.2751489928561475,-0.11476941508898918,-0.4205149908556603,0.9895101270659593,1.6683781834190832,1.7708004347283477,1.655046334690415,1.0219030062649612,0.0,1.1513975820996172,-0.49378669698316485,0.5376576233679695,-1.0234193923759445,-0.12623568480004327,0.42812031293384695,0.8552747814242966,1.9078527058120014,-1.2252616425322218,1.3053239268912709,-1.2337469761219417,1.4703480853710413,-0.9950956984234618,1.3042082039072427,-0.3680707064802169,1.1746136804675735,1.521876527944775,0.19974730440676108,1.1634342569617642,0.5982809667348707,1.300143579528007,0.8763937460863275,0.48317529227663086,1.0488877829870813,0.40894996651544424,1.0801340566059543,0.20581139207507917,1.1331509747375816,-0.05581007475723118,0.6629496210505901,1.4085294292596133,1.265507316483167,1.2319693540019518,1.3646217006716932,-0.3696644410406575,1.3304638244351257,-0.2468367085866499,0.2747281415363567,0.0,-0.5881818234737899,0.12890111114904187,0.0,-0.6624352675665187,0.0,0.02892666750670241,-0.7922667957966167,1.2742802803901028,-0.22893520236229836,0.622925723210088,1.8514658442965457,-0.08687706410411518,1.9939836058885427,1.3113380168913804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"1,2,4-tribromobenzene",water,615-54-3,7732-18-5,5.78e-07,0.0,-0.42017314106591486,-5.199337582605575,2.5187023319109554,1.5022387803543475,2.5130675262060422,2.498535360962214,-0.3442024366213351,0.10916552872646625,0.12454380770571265,0.5799947596329073,1.1034611568293946,0.5920066223547552,1.3097879500400829,0.4219163789197788,0.46876582540316675,0.003213631524532558,0.3101905642907152,0.3101905642907152,1.487397205812344,1.1282425915974221,1.776459634125645,2.5186364423071366,2.658794537410338,2.4985353292271557,0.6561692987596066,0.0,0.8268792399300104,1.9408692403482533,-1.9446536504303293,-1.6351506824129383,-0.1619274975416264,0.5612680109276442,0.8552747814242966,2.798868285984883,-1.210535762262542,1.183738750883012,-1.1454965795650718,1.3610382696830325,-0.9250876632448309,2.093865948597147,0.4448747701196148,1.0107293155388501,1.3728464323835374,-0.01446042730361451,0.7982490441502316,0.4286154673041002,1.552837536471165,0.6094235005853258,0.3840278535999571,1.280212705890671,0.27413372114600204,1.4291815956497067,0.05499800922617075,1.5428789387517037,-0.13996210048082453,0.9243157495358838,1.9280721392467044,0.9730408591887365,1.2265345261741982,1.2501344395789356,-5.476191835881363,0.29606843644203895,2.4580322365936733,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,-0.3406948270877956,0.8144545217937832,0.7490183361077078,-0.9940092547012612,-0.17441610093770257,1.2963010270979574,-0.08687706410411518,1.888384438057086,1.3664592212841011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"1,3,5-tribromobenzene",water,626-39-1,7732-18-5,4.52e-08,0.0,-0.42017314106591486,-5.199337582605575,2.5187023319109554,1.5782941167674707,2.5130675262060422,2.498535360962214,-0.3442024366213351,-0.19224571812854466,0.12454380770571265,0.5799947596329073,1.1357257462591288,0.14836935688326525,2.7682411443582895,0.4219163789197788,0.46876582540316675,0.003213631524532558,0.30746439231588424,0.30746439231588424,1.4971791666800114,1.135745512996647,2.0993810057880244,2.5186364423071375,2.658794537410338,2.4985353292271557,0.6561692987596066,0.0,0.7917797362088829,1.9410859529190188,-1.9448746048778704,-1.7013147844092495,-0.5545374376990405,-0.3175067958314181,-0.22925701034546145,2.423201131215081,-1.21053167900588,1.169510424969886,-1.1351327338102088,1.3421304019977252,-0.9178350158198139,2.0890329837181842,0.4662652613706359,0.8158634768856688,1.3696923969382937,-0.22510768786304583,0.7982490441502316,0.4286154673041002,1.552837536471165,0.6040609490449698,0.3816729798633763,1.2779630943448845,0.2893897284759757,1.4958236020069198,0.01567145486869695,0.8513852373570945,-0.09141568608799738,1.9321150582606348,1.9280721392467044,0.9730408591887365,1.2265345261741982,1.2501344395789356,-5.476191835881363,1.3775123016449486,0.4991396471124051,0.2747281415363567,0.0,-0.9420757749957762,0.12890111114904187,0.0,-1.9078527058120018,0.0,-0.3406948270877956,0.8144545217937832,0.7490183361077078,-0.9940092547012612,-0.17441610093770257,1.2963010270979574,-0.08687706410411518,1.888384438057086,1.3664592212841011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
