Compound1,Compound2,Temp_mean_diff,Temp_std_diff,MolecularWeight_diff,XLogP_diff,ExactMass_diff,MonoisotopicMass_diff,TPSA_diff,Complexity_diff,RotatableBondCount_diff,HeavyAtomCount_diff,Volume3D_diff,XStericQuadrupole3D_diff,YStericQuadrupole3D_diff,ZStericQuadrupole3D_diff,FeatureCount3D_diff,EffectiveRotorCount3D_diff,MaxAbsEStateIndex_diff,MaxEStateIndex_diff,MinAbsEStateIndex_diff,MinEStateIndex_diff,qed_diff,MolWt_diff,HeavyAtomMolWt_diff,ExactMolWt_diff,NumValenceElectrons_diff,MaxPartialCharge_diff,MinPartialCharge_diff,MaxAbsPartialCharge_diff,MinAbsPartialCharge_diff,FpDensityMorgan1_diff,FpDensityMorgan2_diff,FpDensityMorgan3_diff,BCUT2D_MWLOW_diff,BCUT2D_CHGHI_diff,BCUT2D_CHGLO_diff,BCUT2D_LOGPHI_diff,BCUT2D_LOGPLOW_diff,BCUT2D_MRHI_diff,BCUT2D_MRLOW_diff,AvgIpc_diff,BalabanJ_diff,BertzCT_diff,Chi0_diff,Chi0n_diff,Chi0v_diff,Chi1_diff,Chi1n_diff,Chi1v_diff,Chi2n_diff,Chi2v_diff,Chi3n_diff,Chi3v_diff,Chi4n_diff,Chi4v_diff,HallKierAlpha_diff,Kappa1_diff,Kappa2_diff,LabuteASA_diff,PEOE_VSA1_diff,PEOE_VSA6_diff,PEOE_VSA7_diff,SMR_VSA5_diff,SlogP_VSA2_diff,SlogP_VSA5_diff,EState_VSA5_diff,EState_VSA8_diff,NumRotatableBonds_diff,MolLogP_diff,MolMR_diff
acetic acid,acetic acid,3.218875828868201,-16.11809565095832,4.911072753206525,1.6863989720887471,4.9116389022775415,4.896830682134393,3.618993329330735,4.219507706646695,1.3862943861198904,1.9459101633410276,4.561218299503841,1.879465064914336,0.21511146026210357,0.019802725335390667,1.0986123220014423,1.3862943861198904,2.3121736229479417,2.3121736229479417,0.693147230559944,1.2840155396917796,-1.6676309908499463,4.911242124287797,4.9259775095972635,4.8968306800352615,3.7376696206643207,-0.33738717112797634,-0.8483339914253145,-0.8483339914253145,-0.9245613194670431,0.5108256837659889,0.6061358581157686,0.6720938224259414,1.814070459511191,0.9240206199792581,0.5785360671296612,0.9488496969694511,0.6256707491819019,1.9467936362405456,0.917531486426869,0.5709644018507037,1.2205125262957843,4.9337406716911465,1.9146342827723217,1.8380794660567294,1.8380794660567294,1.3317573379052303,1.2286173141310128,1.2286173141310128,1.4251859978087167,1.4251859978087167,0.4054651747748286,0.4054651747748286,0.2027326357037371,0.2027326357037371,0.6626880246216272,1.9516081843744961,3.4977189516794125,3.838260521838727,2.248522283627381,3.8373804831249023,3.3212500463402885,3.827588290298054,3.2744061925752352,3.827588290298054,3.6513055599859894,3.640553929779922,1.3862943861198904,1.3618223748147507,3.5637753122526648
acetic acid,acetone,3.218875828868201,-16.11809565095832,4.925476745740861,1.6677068394260006,4.926102014790124,4.911507985444334,4.052306552613426,4.290459442518254,1.3862943861198904,1.9459101633410276,4.506454214152686,1.8562980059906262,0.15700383427974673,-0.010050234843405483,1.6094379324341002,1.3862943861198904,2.267154997217862,2.267154997217862,0.9808292905117253,0.9597758821117652,-1.5125858551896711,4.925658210890845,4.954502237456721,4.911507983383148,3.7376696206643207,-0.11985494520440527,-1.398212987007203,-0.49558046586361615,-0.5619048753653665,0.7731899343873269,0.8472979032443454,0.899483654235739,1.8624560861509034,0.9365909995417069,0.5604657542829325,0.9153579735123469,0.5787326231272746,1.9335335389708832,0.9097362639592076,0.5709644018507037,1.2205125262957843,4.939160785330009,1.9146342827723217,1.746007066912778,1.746007066912778,1.3317573379052303,1.144257550012666,1.144257550012666,1.3269161062279025,1.3269161062279025,0.4054651747748286,0.4054651747748286,0.2027326357037371,0.2027326357037371,0.5538851706977004,1.9227877462543417,3.4925703226553484,3.8038564761067355,2.2809237937104068,3.8373804831249023,2.62810286939111,3.664275376346209,3.456951044126934,3.664275376346209,3.205890091540869,3.640553929779922,1.3862943861198904,1.2234518792847033,3.473549053613668
acetic acid,acetonitrile,3.218875828868201,-16.11809565095832,5.042037057881845,1.6486586448181508,5.042498731072479,5.029518719205846,3.928093187573757,4.24849524347793,1.3862943861198904,2.079441554179836,4.65491227883438,1.8229351028515934,0.5653138658682407,-0.010050234843405483,1.6094379324341002,1.3862943861198904,2.466140157850336,2.466140157850336,0.3384544691123303,0.298044933714129,-1.462761423561448,5.042179180417459,5.048669406722637,5.029518717406808,3.912023007428146,-0.04646055103156131,-1.9285930866866814,-0.3412197760936462,-0.44992631460324106,0.5108256837659889,0.6061358581157686,0.6720938224259414,1.7976201868643957,1.0978327385261062,0.292800148977171,1.0238083508085492,0.17610014491102546,2.094815988213828,-0.12837712882135988,0.508596431618371,1.3127633911043066,4.953380415753138,2.035319921666875,1.9010181931156764,1.9010181931156764,1.4123351000503028,1.2866470674033343,1.2866470674033343,1.4938121119595018,1.4938121119595018,0.4054651747748286,0.4054651747748286,0.2027326357037371,0.2027326357037371,0.6523252381230221,2.0819384343472502,3.478925363179716,3.931978384019189,2.679668106569452,3.8373804831249023,3.3212500463402885,3.827588290298054,3.624430546050173,3.827588290298054,3.453194861585269,3.640553929779922,1.3862943861198904,1.2425163940521151,3.6195025830157133
acetic acid,benzene,3.218875828868201,-16.11809565095832,4.768351396979056,1.1314021437491646,4.769294468745104,4.752201516927304,4.312140508550198,4.4308168000337895,1.3862943861198904,1.6094379324341002,4.329416685719107,1.8389610866106003,-0.2744367141228216,-0.04082189035359386,1.6094379324341002,1.3862943861198904,2.8388647840657053,2.8388647840657053,-0.18232143679396198,-0.2513142997094854,-1.7375664148865422,4.768529762892801,4.8021997158087615,4.75220151451361,3.583518941233888,0.07286526902457914,-4.714683982033821,-0.16570929946960122,-0.4555148756400527,1.2039728343259355,1.2039728343259355,1.1913940524988222,1.888787692019996,0.954229930547424,0.6354722195395358,0.7904092051111484,0.44874738297666394,2.0340484045095195,-0.4289876348657116,-0.1493376856857187,1.1606363039064125,4.542833601153588,1.8114259324253235,1.6439972824656033,1.6439972824656033,0.9241575502777779,0.8519583814470829,0.8519583814470829,1.2592983561506779,1.2592983561506779,-0.1823214367939629,-0.1823214367939629,-0.1745381757268523,-0.1745381757268523,0.7839015894905088,1.9598735227783983,3.4753485825933605,3.4987220959151037,2.679668106569452,2.3031406636521234,3.3212500463402885,3.967936685834238,3.624430546050173,3.967936685834238,3.6513055599859894,3.640553929779922,1.3862943861198904,0.8362080667356637,3.0984693555169245
acetic acid,butanol,3.218875828868201,-16.11809565095832,4.801682247122975,1.4586150459553306,4.802461311317323,4.785930615231293,3.995812532997079,4.454347297416298,0.693147230559944,1.7917594858947217,4.33073334160212,1.486139718714041,0.45107568305448226,-0.020202605276708287,1.0986123220014423,0.693147230559944,2.4006275795446674,2.4006275795446674,0.9121154006310375,0.8895474479828087,-2.2466336057128586,4.801862980902462,4.866002509170969,4.785930612885967,3.5263605275573378,-0.030175991732218882,-1.0698182080328882,-0.6671201894080225,-0.42564586027556534,0.7259370517700315,0.49062297767295904,0.5643664475660567,1.8906891871643285,0.9093900770327439,0.6847885638842591,0.7949514140818326,0.6104331482191051,2.1286166699435682,0.7335167434237432,0.16178908103698106,1.386632804308546,5.042122646807957,1.8310582363873118,1.6236139750220675,1.6236139750220675,1.133184729885779,0.8419544879148311,0.8419544879148311,1.2810697014235837,1.2810697014235837,-0.011735769137634869,-0.011735769137634869,0.06450516594051506,0.06450516594051506,0.3715636253979979,1.7137979457763606,3.399691528420565,3.6343243355344934,2.248522283627381,3.4982999190309356,3.0574916525057807,3.499833520333053,3.249984930844963,3.499833520333053,3.6513055599859894,3.4400720597450616,0.693147230559944,1.1679517978470522,3.281369761015659
acetic acid,butyl acetate,3.218875828868201,-16.11809565095832,4.377955861558499,1.22377546103388,4.379514684391804,4.354170301744451,3.8774315627289204,3.4339872077109526,-16.11809565095832,1.0986123220014423,3.7796338196655057,0.1988509407123748,0.30748477327736984,-0.010050234843405483,1.3862943861198904,-16.11809565095832,2.1972245884473303,2.1972245884473303,0.9750661881309949,1.0851110958611612,-1.5707350075445805,4.378269587050875,4.49736223446762,4.354170298119877,2.89037176345172,-0.3408097850639623,-0.8853445402762252,-0.8126444765115272,-0.9307266947084202,0.7137665167422717,0.4595323925363329,0.2876821474517781,1.89173543048347,0.8306111891456515,0.7668346877094269,0.7585592389051786,0.7317555966455163,1.9427347647342772,0.9201693648926695,-0.0871075372919262,1.2147967538940958,4.574596303209169,1.3752410036280183,1.1638075040887284,1.1638075040887284,0.5594380565843813,0.3647841148780628,0.3647841148780628,1.0932823015256843,1.0932823015256843,-0.3612799060960809,-0.3612799060960809,-0.14559254400757485,-0.14559254400757485,0.6626880246216272,1.1118575483128657,3.3772563654371344,3.028467327396079,2.2868002095064535,3.4982999190309356,3.0574916525057807,3.265232637254971,3.215958509173012,3.265232637254971,3.453194861585269,3.275344722236359,9.999999505838704e-08,0.9725198629534869,2.837029588218619
acetic acid,carbon tetrachloride,3.218875828868201,-16.11809565095832,3.7385026069662315,0.8754687790205659,3.737921129104251,3.7379211291042505,4.312140508550198,4.382026635923881,1.3862943861198904,1.7917594858947217,4.1206618721628505,1.851599485282659,-0.17435326809716575,-2.659258608362369,1.7917594858947217,1.3862943861198904,2.658156459024145,2.658156459024145,0.20067077728032995,1.4790761173556666,-1.9052805239282913,3.7385501852323735,3.6894043188483403,3.737921129128054,3.5263605275573378,-0.29084462754990625,-4.333965876817094,-0.44024932570019104,-0.4620852097459325,1.0531499494750727,1.109662157821727,1.1500444939626489,1.6387527863147429,0.7239211700703185,0.7415933711088427,0.5335384206371083,0.6410602443029955,1.757767282285988,-0.48830222060655226,0.6202125632296904,1.153178723718391,4.989059185243363,1.7684579894061299,1.8913123246731056,1.2821401620776454,1.258388432376538,1.2776797556500805,0.7306579828229706,1.4467019886788015,-0.19783351243691977,0.4054651747748286,0.4054651747748286,0.2027326357037371,0.2027326357037371,-1.3862939611199705,1.4701758680890977,3.4711279067421943,3.022970316926282,2.679668106569452,-16.11809565095832,3.3212500463402885,3.9044665684569724,3.533734530952584,3.967936685834238,3.6513055599859894,3.640553929779922,1.3862943861198904,0.3655455534887267,3.1118695156347984
acetic acid,chloroform,3.218875828868201,-16.11809565095832,4.336833121107875,1.0647107714751864,4.356306730257091,4.330359491242432,4.312140508550198,4.510859507615751,1.3862943861198904,1.9459101633410276,4.328098293967587,1.816452098078589,-0.47803563965269014,-0.12783325787352764,1.7917594858947217,1.3862943861198904,2.659615337948753,2.659615337948753,0.7339692230801993,1.2606681763489376,-1.6569632581757145,4.337055420336336,4.32378822740975,4.330359486622284,3.6888794566139365,-0.1824690802429094,-3.37829207296007,-0.3154583638573063,-0.4959724253174209,0.9808292905117256,1.041453910122278,1.084626080496186,1.630539545106714,0.8695831115496119,0.633097450990315,0.6760341449495387,0.49370920079540215,1.7926956286996087,-0.8952091812550655,0.5709644018507037,1.3527824786791145,5.062073783450974,1.9146342827723217,1.9356686474737648,1.5392060973592583,1.3317573379052303,1.3055125197758963,0.8672148720212319,1.4884477710169925,0.8963846483775102,0.4054651747748286,0.4054651747748286,0.2027326357037371,0.2027326357037371,-0.616185954238649,1.7298840832404636,3.4590404276347675,3.429315471050211,2.679668106569452,2.451086128470005,3.3212500463402885,3.8832092126071474,3.502788074314503,3.967936685834238,3.6513055599859894,3.640553929779922,1.3862943861198904,0.6970396450810461,3.3053837454782666
acetic acid,cyclohexane,3.218875828868201,-16.11809565095832,4.715592868133639,0.5877867204576732,4.716614287653813,4.698588353428937,4.312140508550198,4.4308168000337895,1.3862943861198904,1.6094379324341002,4.212127599359966,1.824549308180078,-0.400477417343405,-0.09431056958113737,1.6094379324341002,1.0296194528954432,2.8676912936700973,2.8676912936700973,0.2876821474517781,0.2451225362938518,-1.62831369613299,4.715798801707174,4.8021997158087615,4.698588350878661,3.4011973849954886,0.06449759635671785,-16.11809565095832,-0.1551869276529874,-0.44147994396141493,1.2039728343259355,1.2039728343259355,1.1913940524988222,1.9428133113653545,0.7978228038521914,0.8091320140928419,0.6158834570149505,0.666472431300633,2.0949416546453987,0.6233547854616533,-0.1493376856857187,1.433169285013741,5.013350863752636,1.8114259324253235,1.480985792543618,1.480985792543618,0.9241575502777779,0.29582378538839926,0.29582378538839926,0.9385722291217161,0.9385722291217161,-16.11809565095832,-16.11809565095832,-1.8073719139895168,-1.8073719139895168,0.3435897753120602,1.8474044084045302,3.4560843566542956,3.4322577514064894,2.679668106569452,2.064179405963047,3.3212500463402885,2.6637771248428583,3.624430546050173,2.6637771248428583,-16.11809565095832,3.640553929779922,1.3862943861198904,0.5029547898595376,3.0399405330020857
acetic acid,dichloroethane,3.218875828868201,-16.11809565095832,4.57342148870577,1.3083328466772055,4.584089749528005,4.56348292434677,4.312140508550198,4.532599494228525,1.0986123220014423,1.9459101633410276,4.361823928631872,1.7245507373599167,0.1906204422532746,-0.12783325787352764,1.7917594858947217,1.0986123220014423,2.642076633085009,2.642076633085009,0.8225226163538477,0.7978130555663636,-1.702254104855962,4.573679519928712,4.594271006130049,4.5634829215631125,3.6888794566139365,-0.022830812637310696,-2.62945774201204,-0.2431707041363545,-0.41475700807217064,0.9808292905117256,0.9490805934068224,0.9963334764707675,1.795107316161404,0.939104782415083,0.6000275704608471,0.8120359596665098,0.545684314652026,1.852606047366188,-0.1664253046762583,0.1908688609828806,1.4391758628279159,5.0746590829547245,1.9383953920348425,1.8671415681865378,1.6009860228110444,1.2824690679132509,1.1968608075028417,0.806773058729236,1.4585417246689367,1.2651871488807969,0.3566750139387297,-0.15415056316059894,0.2027326357037371,0.2027326357037371,-0.18632945770957324,1.78002422987304,3.4122974934946297,3.549440306124532,2.679668106569452,3.8373804831249023,3.3212500463402885,3.967936685834238,3.2481764870334353,3.967936685834238,3.6513055599859894,3.640553929779922,1.0986123220014423,0.9282983905209993,3.3019661950813712
