Components,Mean_MSE,Std_MSE,Mean_R2,Std_R2,Mean_Max_Error,Std_Max_Error
2,8.84223337124027,1.6646919933544193,0.07949742428435494,0.03659378180475449,11.474445309046413,2.876740205995746
4,8.028139949534616,1.3493034883491781,0.22655129844962113,0.0530072556942972,11.28993607968828,2.205896449116341
6,8.868554387882861,1.72397132139382,0.23020429584349658,0.05745281573409997,13.428404184361534,1.7775024501196541
8,7.800489216325734,2.104368579504282,0.23297709751462445,0.08034098934955587,11.202734591972897,2.9127361093671675
10,7.561036532957374,1.2372730588276224,0.23512826995501174,0.07062199933163865,12.633025218368658,2.576506650608581
12,7.961999544364223,1.4281104142660106,0.2256470530704648,0.074299973860824,12.683937115262404,2.167462441781635
14,7.641353407552654,1.7873554353301158,0.24096835254520843,0.0722868671522997,12.034794489739923,2.269242757797645
16,8.080336622622237,1.3842483903694083,0.2557638490491712,0.0788011506322101,11.803904351523604,2.09596818318027
18,8.208035214167296,0.8535441242054096,0.26338366776879985,0.057481458384762055,13.60883337449486,0.989463485035847
20,7.869670533148304,2.195853337741692,0.2588604318875468,0.04664084635298848,13.05820469102063,3.117674982453511
