Feature,Ranking
Temp_mean,1
MonoisotopicMass,1
YStericQuadrupole3D,1
qed,1
MolWt,1
HeavyAtomMolWt,1
MinPartialCharge,1
BCUT2D_MRHI,1
AvgIpc,1
BertzCT,1
Chi0,1
HallKierAlpha,1
TPSA.1,1
EState_VSA8,1
MolLogP,1
BCUT2D_MRLOW,2
XLogP,3
MolecularWeight,4
ZStericQuadrupole3D,5
PEOE_VSA1,6
Chi0v,7
ExactMass,8
MinAbsEStateIndex,9
ExactMolWt,10
Kappa1,11
SlogP_VSA2,12
Chi3n,13
PEOE_VSA7,14
XStericQuadrupole3D,15
MaxAbsPartialCharge,16
FpDensityMorgan3,17
EffectiveRotorCount3D,18
MinEStateIndex,19
Volume3D,20
MinAbsPartialCharge,21
EState_VSA5,22
Chi1n,23
MaxAbsEStateIndex,24
BCUT2D_LOGPHI,25
Temp_std,26
Chi1,27
TPSA,28
SMR_VSA5,29
FpDensityMorgan1,30
BCUT2D_LOGPLOW,31
Chi4v,32
LabuteASA,33
Chi0n,34
PEOE_VSA6,35
Kappa2,36
MaxPartialCharge,37
FpDensityMorgan2,38
Chi2n,39
BalabanJ,40
FeatureCount3D,41
Chi4n,42
MaxEStateIndex,43
Chi1v,44
NumValenceElectrons,45
Complexity,46
Chi2v,47
MolMR,48
BCUT2D_CHGLO,49
BCUT2D_MWLOW,50
SlogP_VSA5,51
RotatableBondCount,52
BCUT2D_CHGHI,53
Chi3v,54
NumHAcceptors,55
NumRotatableBonds,56
HeavyAtomCount.1,57
NumHeteroatoms,58
HeavyAtomCount,59
NOCount,60
