PCA_components,Model,MSE,R2,RMSE,MAE,Best Params
1,1,4.425557176372667,0.2511499619546639,2.103700828628602,1.5564856120910215,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
1,2,4.225279336291533,0.20146593966043347,2.0555484271336284,1.523472407434275,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}"
1,3,3.912569891503018,0.49589253441873193,1.9780217115853451,1.5324971285528552,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
1,4,4.70813821683138,0.2324584497826495,2.169824466824766,1.5859409304162697,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
1,5,3.3850142292768473,0.658967830816845,1.839840816287335,1.4015511013767479,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
1,6,4.441939314555438,0.42177916965871354,2.1075908793111244,1.5421484251370738,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
1,7,5.457431770577294,0.34598112911235357,2.3361146741068373,1.6479093912829756,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 10}"
1,8,4.6936716145738595,0.5470433209840787,2.16648831397122,1.521721780027018,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}"
1,9,4.5406085475475395,0.40893509372933745,2.1308703732389587,1.5662739667648704,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
1,10,5.104700011388709,0.5106245233150861,2.259358318503001,1.6707991815612568,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
2,1,4.543984467915065,0.3465310573858261,2.1316623719330097,1.5487883818401627,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}"
2,2,3.867768834252579,0.6184759372674438,1.9666643928877594,1.5705326997239326,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}"
2,3,4.742984123158374,0.5231634096153855,2.177839324458619,1.6467002521623257,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
2,4,4.316845099733305,0.4233201905095406,2.077701879417089,1.582009198489371,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 10}"
2,5,3.550760589859594,0.5658768008780015,1.884346196923377,1.531887368064845,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
2,6,3.833084828935105,0.4949458133439322,1.9578265574189928,1.4670287520658203,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}"
2,7,8.076962116071154,0.14809762606094534,2.8419996685557782,1.9267494116553334,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 10}"
2,8,4.972959254800282,0.22700555517722953,2.2300132857900827,1.5553372780543437,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}"
2,9,4.790531160981015,0.5118121580316364,2.1887282062835065,1.6642558083022676,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}"
2,10,6.633294363180933,0.28331242016206615,2.5755182707915183,1.8285432948772025,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
3,1,4.1505249598189575,0.29768825704878543,2.0372837209919874,1.5121492776132273,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
3,2,5.816383940279081,0.3865278535099804,2.411718047425752,1.6810956663659573,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
3,3,2.9671591190519706,0.6282911406623577,1.722544373608985,1.2950653614022902,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}"
3,4,4.510598890905429,0.3026996865556707,2.1238170568355055,1.4876944565933425,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
3,5,5.9654768140893415,0.37344476797445636,2.4424325608068163,1.9593999224230114,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
3,6,6.169451333690036,0.35202128307315417,2.4838380248498564,1.9687005753855022,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 50}"
3,7,2.978235097515656,0.4906305226321649,1.7257563841735184,1.307364690461758,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
3,8,3.1015890805355744,0.41383176711845027,1.7611328968977822,1.2086396324062296,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
3,9,2.7254736222126645,0.663217269501231,1.650900851720861,1.3086241960300864,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}"
3,10,4.0521738702188355,0.4524923273325535,2.013001209691349,1.4595676613066306,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
4,1,3.034917501857447,0.47382338747129427,1.7421014614130392,1.2709122465718035,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
4,2,4.558155069802,0.4156602282123337,2.1349836228416366,1.4041187242558801,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}"
