PCA_components,Best_Params,Max_MSE,Min_MSE,Max_R2,Min_R2,Max_RMSE,Min_RMSE,Max_MAE,Min_MAE
1,{},0.030338123234018237,0.020187149473176264,-0.11806164525612584,-0.7043690193753211,0.17417842356049223,0.14208148884769,0.13203272716561462,0.10311043593766632
2,{},0.022271741699216717,0.012001506815014891,0.32193813029556073,-0.24487618183761772,0.1492371994484509,0.1095513889232578,0.11223239069864224,0.08536648765144528
3,{},0.010138357174533598,0.005211219223645179,0.7268794021083429,0.23588043875708342,0.10068940944574856,0.07218877491442266,0.07463403038582501,0.05687915049988972
4,{},0.010453615431137127,0.005044554883986627,0.6844705720105525,0.2279369376046334,0.1022429236237752,0.07102502998230009,0.07100124042471227,0.05407658370528481
5,{},0.008382515197842734,0.004736970615780229,0.7042710835073536,0.5143612166726413,0.09155607679363907,0.06882565376209825,0.06706871119927586,0.05302866409493859
6,{},0.009114844762042442,0.004094920761211415,0.7673973281269442,0.3268132918607515,0.09547169613054145,0.06399156789149188,0.06460244697223827,0.046624115090591195
7,{},0.008437623680318342,0.004432162570499039,0.7577724026939722,0.5383231432019355,0.09185653858228243,0.06657448888650246,0.06457714505667504,0.04914900604713309
8,{},0.008389396603853044,0.0038635873960935195,0.7408870973227679,0.5571751695479716,0.09159364936420562,0.062157762154806694,0.06370970496287207,0.047791375001262446
9,{},0.010736644519930014,0.005108241852129661,0.7433223979562407,0.31414894289960305,0.10361778090622291,0.07147196549787659,0.07231508118726482,0.053054803501375966
10,{},0.008454540300878841,0.005954092105784904,0.6804562872678431,0.532052612220204,0.09194857421884714,0.07716276372567861,0.0661857666508433,0.04847121772833193
11,{},0.009591570366398544,0.004431532956018814,0.7363723011395826,0.4742490295655488,0.09793656297011114,0.06656976007181349,0.06261626879265306,0.050014567838157116
12,{},0.009341927073653339,0.003915577251365786,0.7775845288093926,0.44096960649181205,0.0966536449061976,0.06257457352124572,0.06111401084217461,0.047404807856771564
13,{},0.007082539050823427,0.0042869617776917415,0.753076417162319,0.6205922684942635,0.08415782227947338,0.06547489425491072,0.06083978766978637,0.048766253641683036
14,{},0.00832355239212231,0.004113378086840372,0.7672938509514138,0.5452148334171572,0.09123350476728552,0.06413562260429356,0.061035498924518296,0.04822247735127274
15,{},0.008333090508467799,0.0036851739462358227,0.7768233514451419,0.5013394100210713,0.09128576290127502,0.060705633562593043,0.05795167383432246,0.04479099769798794
16,{},0.009092843221577282,0.0037405625870286434,0.803956685302175,0.5710198450575281,0.09535640105193402,0.061160138873523194,0.06674196323457812,0.04563989494871808
17,{},0.00877222510527281,0.004363791362290913,0.7741931111130408,0.5191605038812475,0.09366015751253469,0.06605899910149195,0.05987853938915547,0.05084271924496839
18,{},0.008215784052261619,0.003732241575787309,0.7660131416066079,0.6111624052363156,0.09064096233084476,0.06109207457426298,0.06310937132435106,0.045874532852801145
19,{},0.008106338266125104,0.005413050048994634,0.7488170032247401,0.5765166567182873,0.09003520570379736,0.07357343303798344,0.062212563496752665,0.05350685760313906
20,{},0.007141720800679308,0.0040637165152204975,0.7870201508193558,0.5125583039814163,0.08450870251447071,0.06374728633612961,0.05780231952524371,0.04807550095453398
21,{},0.009043220546969346,0.005158318435354048,0.7286515505607734,0.5043061983804096,0.09509584926256953,0.07182143437271389,0.061132771020372095,0.05064781293545663
22,{},0.008069149326927073,0.0041317427649044496,0.7653057378515353,0.5169275100131215,0.08982844386343934,0.06427863381330105,0.060790003128220645,0.0492586356652146
23,{},0.008275749494244939,0.004245758755898452,0.749089883869489,0.5047707544848457,0.09097114649296742,0.0651594870751639,0.05923951545571,0.04781262851969167
24,{},0.007256569859398222,0.0036115987939803326,0.7959516693516485,0.6047510827019942,0.085185502636295,0.0600965788874902,0.06012100932013755,0.04732932880038784
25,{},0.008260359146170838,0.004340673369440437,0.7898512937940425,0.5655307337344139,0.09088651795602491,0.06588378684805873,0.06463966609667382,0.04722472697799664
26,{},0.007517565021505357,0.004875627202718312,0.7226863835830246,0.5748838506160472,0.08670389277019433,0.06982569156634477,0.061419270061705535,0.05019606742695241
27,{},0.007833123626768478,0.003971868730550703,0.750990104112845,0.576277460348565,0.08850493560682635,0.06302276359023543,0.06380101694999257,0.04729813928900887
28,{},0.007180503542127451,0.003536309054425848,0.8002053936846635,0.5232881940035469,0.08473785188525522,0.05946687358879604,0.05914203278880439,0.047043653704087196
29,{},0.007455893100759999,0.004361311588078683,0.7714231588793804,0.6055708981353725,0.08634751357601445,0.06604022704442106,0.06163496646317388,0.04744152397795314
30,{},0.007779361111280691,0.004217314702280529,0.7356022652861848,0.5230387828989207,0.0882006865692138,0.064940855416914,0.06300521352609227,0.04811387095035223
31,{},0.007511522384274171,0.004352588549107088,0.7427766010474401,0.5456369890124841,0.08666903936397456,0.06597415061300212,0.06010190527384388,0.04826660414010448
32,{},0.008281152294495327,0.0041943677467215735,0.7081061547730723,0.5756967953113813,0.09100083677909411,0.06476393862885096,0.06067055597683796,0.04722519223286654
33,{},0.00797328293462663,0.004766790849029335,0.7570099133317425,0.5111492218459678,0.08929324125949639,0.06904194992198101,0.060763430793941864,0.05068062477407205
34,{},0.008262461213734097,0.005910574093203947,0.7094995860462614,0.5322738166797958,0.09089808146343957,0.07688025814995646,0.06862926043848379,0.054232936440450866
35,{},0.0074118363497303694,0.004588335358641419,0.7595248169960885,0.5481041228280661,0.0860920225673109,0.0677372523700321,0.06278191496788765,0.05133002594910713
36,{},0.008089419082176728,0.003603073385646071,0.7964333383957298,0.5159209553759236,0.08994119791384106,0.060025606083121484,0.06318739510920945,0.04793309049527131
37,{},0.007902421881996281,0.0048761737619397345,0.7512434366728592,0.5828795805829208,0.08889556727979343,0.06982960519679124,0.06292576878336126,0.04873629477086033
38,{},0.007358182032445352,0.004300590509029147,0.7557147252988227,0.49992784166143,0.08577984630695809,0.06557888767758376,0.0610460106269463,0.048022167820914785
39,{},0.007057393552536895,0.0035471241417758706,0.7995943622148152,0.5490342849532279,0.08400829454605596,0.05955773788330002,0.06317695974985292,0.04715803348451567
40,{},0.007590489929777327,0.004689299760341562,0.7609600690974594,0.5353289217232192,0.08712341780358096,0.0684784620179335,0.06311397015836921,0.04922500043903168
41,{},0.007666565651724332,0.0053434320432394645,0.7343429296074069,0.5424038673279072,0.08755892673922135,0.07309878277536135,0.06369455815076357,0.05068219077004109
42,{},0.008611688523974228,0.0043938201882739916,0.7504190251486191,0.4795932827973237,0.0927991838540309,0.06628589735587798,0.06324754593217084,0.05156563272188773
43,{},0.008276136251183766,0.004010559495044564,0.743029771859707,0.5814129508373868,0.09097327218026054,0.06332897831991736,0.0689351132652712,0.04653190476903468
44,{},0.009937717461342596,0.0045344729037204495,0.7226602910582762,0.5351124547896647,0.09968810090147467,0.06733849496180064,0.07001752954066827,0.05186993667074023
45,{},0.008264796633666317,0.004203355807911663,0.7512156637540333,0.528962822548648,0.09091092692117003,0.06483329243461003,0.06648712658515955,0.04720394198715608
46,{},0.0068499621571641136,0.00409303087014247,0.7234531878054935,0.5813133607513283,0.08276449816898616,0.06397679946779512,0.058762089491349694,0.04743060262990418
47,{},0.008341958624442852,0.0034398410608345482,0.8056556483159667,0.5484116062150616,0.09133432336445511,0.05865015823367017,0.06329660219078442,0.047074723875135754
48,{},0.008308801363189152,0.0034905883013315103,0.8027885276032025,0.5543783872025199,0.0911526267487073,0.05908120091307818,0.06638501837641665,0.047129377743379865
49,{},0.009919358461231138,0.0057243848972839345,0.7306252297611648,0.5453017207905785,0.09959597612971689,0.0756596649297625,0.07093162465660678,0.05259129788560806
50,{},0.009842055271560488,0.004943079186758422,0.7041927034589857,0.5503676435730429,0.0992071331687419,0.07030703511568684,0.0701845283074846,0.049643863636576135
51,{},0.008124344928290266,0.004856060572946278,0.7506985721650568,0.549100329758375,0.09013514812929674,0.06968544017903795,0.06440285955565185,0.04904432440382628
52,{},0.008247027681460567,0.004819535950659683,0.7227497351021266,0.5064894969002515,0.09081314707387124,0.0694228777180814,0.06474377632889135,0.05302726640450887
53,{},0.008452739796485984,0.004370102487759485,0.7391378084169978,0.5090222578652122,0.09193878287472586,0.06610675069733413,0.06419582501514162,0.05032077503238167
54,{},0.009128985757587851,0.005780128723103899,0.7262830291396818,0.5625549465328681,0.09554572600377188,0.07602715779972245,0.06442327452425901,0.051318431607332717
55,{},0.008151924060097609,0.0048425326985514685,0.7159521457342575,0.5073178990921567,0.09028800618076362,0.06958830863407638,0.06499835204640397,0.04952657627950284
56,{},0.009261712480453885,0.0036176712554360302,0.7956085870510821,0.5276831027362098,0.09623779133196005,0.06014708019044673,0.06482068381633155,0.04818431551310807
57,{},0.00931194971411885,0.004634824352925075,0.7260974107345715,0.5522612355925753,0.09649844410206235,0.06807954430609149,0.06401466309314573,0.04908653244702441
58,{},0.008187527327563351,0.004845691991085724,0.7529878792308735,0.5302803744831999,0.09048495636050974,0.06961100481307338,0.06676310505667604,0.0519414107859138
59,{},0.008624797207961811,0.004286312007569488,0.7312765906549097,0.5107682749535256,0.09286978630298344,0.06546993208771099,0.06387719809554665,0.048732956440484095
60,{},0.008591527967157347,0.005555043680632061,0.7338320214907004,0.5711079039986339,0.09269049555999442,0.07453216540952008,0.07152739859059656,0.052503486921544607
61,{},0.00987807273363878,0.0041263847575421465,0.7219546850572492,0.5319879273778525,0.0993884939700707,0.06423694231158693,0.07070483632387299,0.04853432942937867
62,{},0.008128091065410679,0.004181775300999114,0.7118125476093994,0.5403308961217881,0.09015592640204347,0.06466664751631333,0.06637746725137125,0.04880364327510448
63,{},0.00994851654030937,0.00412183315389596,0.6989433756074449,0.5419439417632874,0.09974225052759422,0.06420150429620758,0.07040133771464897,0.048351858511250796
64,{},0.008822757042258633,0.00465741952225336,0.7247621119373253,0.4940170655015609,0.09392953232215431,0.06824528937775383,0.06692266132604051,0.049958311557436116
